Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,brain_region,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,time_point,tissue
SRR10596866,RNA-Seq,250,10911753250,PRJNA593775,SAMN13489065,Prefrontal Cortex,4301998189,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7276705,wild type,GSM4205497,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205497,Prefrontal Cortex,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596867,RNA-Seq,250,9492154250,PRJNA593775,SAMN13489064,Prefrontal Cortex,3744893185,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7276706,wild type,GSM4205498,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205498,Prefrontal Cortex,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596868,RNA-Seq,250,10017516000,PRJNA593775,SAMN13489063,Prefrontal Cortex,3955296122,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7276707,wild type,GSM4205499,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205499,Prefrontal Cortex,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596869,RNA-Seq,250,10502241250,PRJNA593775,SAMN13489062,Prefrontal Cortex,4143649217,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX7276708,wild type,GSM4205500,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205500,Prefrontal Cortex,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596870,RNA-Seq,250,8971545000,PRJNA593775,SAMN13489061,Prefrontal Cortex,3585135264,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7276709,wild type,GSM4205501,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205501,Prefrontal Cortex,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596871,RNA-Seq,250,9707833750,PRJNA593775,SAMN13489060,Prefrontal Cortex,3813812168,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7276710,wild type,GSM4205502,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205502,Prefrontal Cortex,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596872,RNA-Seq,250,10315904250,PRJNA593775,SAMN13489059,Prefrontal Cortex,4075041293,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX7276711,wild type,GSM4205503,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205503,Prefrontal Cortex,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596873,RNA-Seq,250,9196643250,PRJNA593775,SAMN13489058,Prefrontal Cortex,3644352675,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7276712,wild type,GSM4205504,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205504,Prefrontal Cortex,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596874,RNA-Seq,250,9461043000,PRJNA593775,SAMN13489057,Prefrontal Cortex,3729669538,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7276713,wild type,GSM4205505,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205505,Prefrontal Cortex,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596875,RNA-Seq,250,9817072250,PRJNA593775,SAMN13489056,Prefrontal Cortex,3886914457,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX7276714,wild type,GSM4205506,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205506,Prefrontal Cortex,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596876,RNA-Seq,250,11304113250,PRJNA593775,SAMN13489055,Prefrontal Cortex,4474240608,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX7276715,wild type,GSM4205507,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205507,Prefrontal Cortex,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596877,RNA-Seq,250,10832775750,PRJNA593775,SAMN13489054,Prefrontal Cortex,4318989331,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX7276716,wild type,GSM4205508,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205508,Prefrontal Cortex,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596878,RNA-Seq,302,16733215396,PRJNA593775,SAMN13489053,Nucleus Accumbens,6290196413,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX7276717,wild type,GSM4205509,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205509,Nucleus Accumbens,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596879,RNA-Seq,302,16446563640,PRJNA593775,SAMN13489052,Nucleus Accumbens,6171608459,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7276718,wild type,GSM4205510,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205510,Nucleus Accumbens,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596880,RNA-Seq,302,13733963098,PRJNA593775,SAMN13489097,Nucleus Accumbens,5085565300,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX7276719,wild type,GSM4205511,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205511,Nucleus Accumbens,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596881,RNA-Seq,302,13562299352,PRJNA593775,SAMN13489096,Nucleus Accumbens,5509354922,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX7276720,wild type,GSM4205512,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205512,Nucleus Accumbens,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596882,RNA-Seq,302,11961055186,PRJNA593775,SAMN13489095,Nucleus Accumbens,4845777417,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7276721,wild type,GSM4205513,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205513,Nucleus Accumbens,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596883,RNA-Seq,302,23535486650,PRJNA593775,SAMN13489094,Nucleus Accumbens,8692186677,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7276722,wild type,GSM4205514,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205514,Nucleus Accumbens,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596884,RNA-Seq,302,15699172228,PRJNA593775,SAMN13489093,Nucleus Accumbens,5813945944,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7276723,wild type,GSM4205515,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205515,Nucleus Accumbens,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596885,RNA-Seq,302,20552041334,PRJNA593775,SAMN13489092,Nucleus Accumbens,7635662960,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7276724,wild type,GSM4205516,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205516,Nucleus Accumbens,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596886,RNA-Seq,302,18642521608,PRJNA593775,SAMN13489091,Nucleus Accumbens,6906484693,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX7276725,wild type,GSM4205517,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205517,Nucleus Accumbens,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596887,RNA-Seq,302,19838675054,PRJNA593775,SAMN13489090,Nucleus Accumbens,7394973061,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7276726,wild type,GSM4205518,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205518,Nucleus Accumbens,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596888,RNA-Seq,302,14490300656,PRJNA593775,SAMN13489089,Nucleus Accumbens,5341352080,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7276727,wild type,GSM4205519,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205519,Nucleus Accumbens,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596889,RNA-Seq,302,15301788246,PRJNA593775,SAMN13489088,Nucleus Accumbens,5661191413,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7276728,wild type,GSM4205520,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205520,Nucleus Accumbens,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596890,RNA-Seq,302,20291120280,PRJNA593775,SAMN13489087,Ventral Tegmental Area,7519351382,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7276729,wild type,GSM4205521,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205521,Ventral Tegmental Area,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596891,RNA-Seq,302,18359867124,PRJNA593775,SAMN13489086,Ventral Tegmental Area,7103451457,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7276730,wild type,GSM4205522,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205522,Ventral Tegmental Area,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596892,RNA-Seq,302,16323317440,PRJNA593775,SAMN13489085,Ventral Tegmental Area,6342469629,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7276731,wild type,GSM4205523,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205523,Ventral Tegmental Area,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596893,RNA-Seq,302,18024028024,PRJNA593775,SAMN13489084,Ventral Tegmental Area,6655752817,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX7276732,wild type,GSM4205524,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205524,Ventral Tegmental Area,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596894,RNA-Seq,302,18270085846,PRJNA593775,SAMN13489083,Ventral Tegmental Area,7315828816,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX7276733,wild type,GSM4205525,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205525,Ventral Tegmental Area,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596895,RNA-Seq,302,16316017798,PRJNA593775,SAMN13489082,Ventral Tegmental Area,6519338729,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7276734,wild type,GSM4205526,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205526,Ventral Tegmental Area,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596896,RNA-Seq,302,14661242924,PRJNA593775,SAMN13489081,Ventral Tegmental Area,5815312467,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7276735,wild type,GSM4205527,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205527,Ventral Tegmental Area,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596897,RNA-Seq,302,13636474478,PRJNA593775,SAMN13489080,Ventral Tegmental Area,5537071353,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7276736,wild type,GSM4205528,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205528,Ventral Tegmental Area,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596898,RNA-Seq,302,21430112978,PRJNA593775,SAMN13489079,Ventral Tegmental Area,7934383756,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX7276737,wild type,GSM4205529,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205529,Ventral Tegmental Area,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596899,RNA-Seq,302,19201468342,PRJNA593775,SAMN13489078,Ventral Tegmental Area,7437058900,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7276738,wild type,GSM4205530,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205530,Ventral Tegmental Area,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596900,RNA-Seq,302,17090571694,PRJNA593775,SAMN13489077,Ventral Tegmental Area,6341481245,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7276739,wild type,GSM4205531,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205531,Ventral Tegmental Area,SRP234876,C57BL/6,28-days Abstinence,Brain
